ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,source_file
2021,07/02/2021,07:30 PM,4,สงขลา,6.617781389,100.4203042,2,1,0,1,1,accident2021-4_songkhla.csv
2021,26/02/2021,10:00 PM,4,สงขลา,6.549700223,100.4143068,2,1,1,0,1,accident2021-4_songkhla.csv
2021,02/03/2021,08:00 AM,4,สงขลา,6.581249308,100.4119518,2,0,1,1,1,accident2021-4_songkhla.csv
2021,12/03/2021,07:30 AM,4,สงขลา,6.782116801,100.4528314,2,1,1,0,1,accident2021-4_songkhla.csv
2021,27/03/2021,12:00 AM,4,สงขลา,6.939686576,100.4704615,1,0,1,0,1,accident2021-4_songkhla.csv
2021,31/03/2021,01:30 PM,4,สงขลา,6.530988328,100.417563,1,0,0,1,1,accident2021-4_songkhla.csv
2021,06/04/2021,02:00 AM,4,สงขลา,6.635259134,100.4233163,1,0,1,0,1,accident2021-4_songkhla.csv
2021,10/04/2021,03:30 PM,4,สงขลา,6.733573167,100.4501518,2,0,0,2,1,accident2021-4_songkhla.csv
2021,10/04/2021,10:30 PM,4,สงขลา,7.141049683,100.3010961,1,0,1,0,1,accident2021-4_songkhla.csv
2021,12/04/2021,05:00 AM,4,สงขลา,6.684257451,100.4388141,1,0,1,0,1,accident2021-4_songkhla.csv
2021,16/04/2021,09:00 AM,4,สงขลา,6.986004828,100.4373389,4,0,3,1,1,accident2021-4_songkhla.csv
2021,19/04/2021,08:00 AM,4,สงขลา,6.645673551,100.4268166,2,1,1,0,1,accident2021-4_songkhla.csv
2021,20/04/2021,04:00 PM,4,สงขลา,6.930471369,100.4684901,2,0,0,2,1,accident2021-4_songkhla.csv
2021,23/04/2021,07:00 PM,4,สงขลา,6.732313231,100.4499373,1,0,1,0,1,accident2021-4_songkhla.csv
2021,28/04/2021,03:00 PM,4,สงขลา,6.987250781,100.4257142,1,0,0,1,1,accident2021-4_songkhla.csv
2021,30/04/2021,01:30 PM,4,สงขลา,6.993184985,100.4183274,2,0,1,1,1,accident2021-4_songkhla.csv
