date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,source_file
1/2/2020,9:30 PM,79,89,0,29.85,Mostly Cloudy,songkhla_weather_2020.csv
1/2/2020,10:00 PM,81,84,3,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,10:30 PM,81,84,3,29.88,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,11:00 PM,81,79,6,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/2/2020,11:30 PM,79,89,6,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,12:00 AM,79,89,7,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,12:30 AM,79,89,5,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,1:00 AM,79,83,2,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,1:30 AM,79,83,0,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,2:00 AM,79,89,5,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,2:30 AM,79,89,6,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,3:00 AM,79,89,6,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,3:30 AM,77,94,5,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,4:00 AM,75,94,0,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,4:30 AM,75,100,0,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,5:00 AM,75,94,3,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,5:30 AM,75,94,5,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,6:00 AM,75,94,0,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,6:30 AM,75,94,2,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,7:00 AM,75,100,0,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,8:30 AM,82,79,7,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,9:00 AM,84,74,6,29.85,Fair,songkhla_weather_2020.csv
1/3/2020,9:30 AM,84,74,8,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,10:00 AM,86,66,15,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,10:30 AM,88,66,15,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,11:00 AM,88,62,17,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,11:30 AM,90,59,15,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,12:00 PM,90,59,15,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,12:30 PM,88,58,20,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,1:00 PM,88,62,20,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,1:30 PM,90,55,22,29.76,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/3/2020,2:00 PM,90,59,22,29.76,Fair / Windy,songkhla_weather_2020.csv
1/3/2020,2:30 PM,88,58,20,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,3:00 PM,90,59,21,29.73,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/3/2020,3:30 PM,88,62,21,29.73,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/3/2020,4:00 PM,86,66,18,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,4:30 PM,86,66,20,29.73,Fair,songkhla_weather_2020.csv
1/3/2020,5:00 PM,86,66,16,29.73,Fair,songkhla_weather_2020.csv
1/3/2020,5:30 PM,84,70,14,29.73,Fair,songkhla_weather_2020.csv
1/3/2020,6:00 PM,82,74,14,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,6:30 PM,82,74,14,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,7:00 PM,81,79,13,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,7:30 PM,81,79,12,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/3/2020,8:00 PM,81,79,12,29.79,Fair,songkhla_weather_2020.csv
1/3/2020,8:30 PM,81,79,10,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,9:00 PM,81,79,8,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,9:30 PM,81,79,7,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,10:00 PM,81,79,6,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,10:30 PM,81,79,5,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,11:00 PM,81,79,5,29.82,Fair,songkhla_weather_2020.csv
1/3/2020,11:30 PM,81,79,6,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,12:00 AM,79,83,5,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,12:30 AM,79,83,6,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,1:00 AM,79,83,6,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,1:30 AM,79,83,6,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,2:00 AM,79,83,5,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,2:30 AM,79,83,3,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,3:00 AM,79,83,3,29.73,Fair,songkhla_weather_2020.csv
1/4/2020,3:30 AM,79,83,3,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,4:00 AM,79,83,2,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,4:30 AM,77,89,0,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,5:00 AM,75,94,0,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,5:30 AM,75,94,0,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,6:00 AM,75,94,0,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,6:30 AM,75,94,2,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,7:00 AM,75,94,3,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,7:30 AM,75,94,2,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,8:00 AM,79,89,3,29.82,Fair,songkhla_weather_2020.csv
1/4/2020,8:30 AM,82,79,5,29.82,Fair,songkhla_weather_2020.csv
1/4/2020,9:00 AM,82,74,9,29.82,Fair,songkhla_weather_2020.csv
1/4/2020,9:30 AM,86,66,9,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,10:00 AM,86,66,13,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,10:30 AM,88,58,15,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,11:00 AM,90,59,18,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,11:30 AM,88,58,17,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,12:00 PM,90,55,20,29.76,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,12:30 PM,90,55,16,29.73,Partly Cloudy,songkhla_weather_2020.csv
1/4/2020,1:00 PM,90,52,21,29.73,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/4/2020,1:30 PM,91,49,17,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,2:00 PM,90,55,16,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,2:30 PM,90,52,17,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,3:00 PM,90,52,18,29.67,Fair,songkhla_weather_2020.csv
1/4/2020,3:30 PM,90,55,15,29.67,Fair,songkhla_weather_2020.csv
1/4/2020,4:00 PM,88,58,17,29.67,Fair,songkhla_weather_2020.csv
1/4/2020,4:30 PM,86,62,17,29.67,Fair,songkhla_weather_2020.csv
1/4/2020,5:00 PM,86,62,16,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,5:30 PM,84,66,15,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,6:00 PM,82,70,15,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,6:30 PM,81,74,9,29.7,Fair,songkhla_weather_2020.csv
1/4/2020,7:00 PM,81,79,8,29.73,Fair,songkhla_weather_2020.csv
1/4/2020,7:30 PM,79,83,6,29.73,Fair,songkhla_weather_2020.csv
1/4/2020,8:00 PM,79,83,6,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,8:30 PM,79,83,5,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,9:00 PM,77,89,6,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,9:30 PM,77,89,6,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,10:00 PM,77,89,6,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,10:30 PM,77,89,3,29.79,Fair,songkhla_weather_2020.csv
1/4/2020,11:00 PM,75,94,6,29.76,Fair,songkhla_weather_2020.csv
1/4/2020,11:30 PM,75,94,5,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,12:00 AM,75,94,3,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,12:30 AM,75,94,3,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,1:00 AM,75,94,7,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,1:30 AM,75,94,6,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,2:00 AM,75,89,3,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,2:30 AM,73,94,3,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,3:00 AM,73,94,3,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,3:30 AM,73,94,2,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,4:00 AM,73,94,5,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,4:30 AM,73,94,5,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,5:00 AM,73,94,3,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,5:30 AM,73,94,2,29.73,Fair,songkhla_weather_2020.csv
1/5/2020,6:00 AM,75,89,3,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,6:30 AM,73,94,0,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,7:00 AM,73,94,0,29.76,Fair,songkhla_weather_2020.csv
1/5/2020,7:30 AM,75,94,3,29.79,Fair,songkhla_weather_2020.csv
