ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,สายทางหน่วยงาน,รหัสสายทาง,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,วันเวลาเกิด,วันเวลาเกิด_ปัดครึ่งชม,ช่วงเวลา,รถน้อยกว่า4ล้อ,รถ4ล้อ,รถมากกว่า4ล้อ
2020,1/15/2020,20:50:00,ทางหลวง,414,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.010031432,100.4226351,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,1,0
2020,1/17/2020,19:15:00,ทางหลวง,43,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.876113704,100.9559682,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,,,0,1,0
2020,1/17/2020,19:25:00,ทางหลวง,43,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.927933894,100.8851257,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,,,,0,1,0
2020,1/17/2020,19:30:00,ทางหลวง,408,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.992420918,100.6770024,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,0,1,0
2020,1/17/2020,20:45:00,ทางหลวง,43,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.957799615,100.5383348,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,0,1,0
2020,1/18/2020,16:40:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.930346227,100.8824086,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0
2020,1/19/2020,17:10:00,ทางหลวง,4054,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.638352311,100.3666949,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,,,,0,1,0
2020,1/20/2020,14:30:00,ทางหลวง,4145,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,แซงรถอย่างผิดกฎหมาย,ชนท้าย,แจ่มใส,6.796451222,100.4529011,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2,0
2020,1/21/2020,7:50:00,ทางหลวง,406,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,ฝนตก,7.079316937,100.1877916,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,0,1,0
2020,1/21/2020,9:30:00,ทางหลวง,406,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,ฝนตก,7.083245679,100.189197,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,0,1,0
2020,1/22/2020,8:25:00,ทางหลวง,408,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.422362829,100.4574528,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,,,,0,3,0
2020,1/23/2020,13:30:00,ทางหลวง,408,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.24545787,100.5408963,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,0,1,0
2020,1/23/2020,14:20:00,ทางหลวง,4,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.79190218,100.453172,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,1,0,1
2020,1/24/2020,5:40:00,ทางหลวง,408,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,6.992420918,100.6770077,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,0,2,0
2020,1/24/2020,15:15:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.897834619,100.9187955,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,0,1,0
2020,1/25/2020,1:50:00,ทางหลวง,4,สงขลา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.746294867,100.4514688,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,,,,0,0,1
2020,1/25/2020,16:40:00,ทางหลวง,43,สงขลา,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.944500458,100.8240974,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,0,0
2020,1/27/2020,20:20:00,ทางหลวง,4,สงขลา,รถตู้,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.904145401,100.4695093,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,0,1,0
2020,2/1/2020,10:00:00,ทางหลวง,414,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.102148958,100.5110353,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2020-01-02 10:00:00,2020-01-02 10:00:00,10:00,0,1,0
2020,2/3/2020,11:30:00,ทางหลวง,408,สงขลา,รถจักรยานยนต์,,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,7.043677242,100.6555232,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-03-02 11:30:00,2020-03-02 11:30:00,11:30,1,1,0
2020,2/5/2020,17:00:00,ทางหลวง,4,สงขลา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.007688726,100.4141861,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2020-05-02 17:00:00,2020-05-02 17:00:00,17:00,1,0,1
2020,2/6/2020,2:00:00,ทางหลวง,4,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.532962943,100.4170909,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-06-02 02:00:00,2020-06-02 02:00:00,02:00,0,2,0
2020,2/6/2020,2:50:00,ทางหลวง,4,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.5466891,100.4149908,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2020-06-02 02:50:00,2020-06-02 03:00:00,03:00,1,0,1
2020,2/6/2020,4:30:00,ทางหลวง,43,สงขลา,รถโดยสารขนาดใหญ่,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.946931343,100.8542132,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,18,2020-06-02 04:30:00,2020-06-02 04:30:00,04:30,0,0,1
2020,2/7/2020,17:50:00,ทางหลวง,43,สงขลา,รถจักรยานยนต์,ทางเชื่อมเข้าบริเวณหน้าโรงเรียน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,6.885108952,100.9402719,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2020-07-02 17:50:00,2020-07-02 18:00:00,18:00,1,0,1
2020,2/8/2020,3:00:00,ทางหลวง,42,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.740863679,100.6178811,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-08-02 03:00:00,2020-08-02 03:00:00,03:00,0,1,0
2020,2/8/2020,23:30:00,ทางหลวง,414,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.1147862,100.5284858,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-02 23:30:00,2020-08-02 23:30:00,23:30,0,1,0
2020,2/10/2020,15:00:00,ทางหลวง,4085,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,ฝนตก,6.559053243,100.9539726,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,2020-10-02 15:00:00,2020-10-02 15:00:00,15:00,0,1,0
2020,2/11/2020,7:15:00,ทางหลวง,406,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,ฝนตก,6.991518411,100.1411641,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-11-02 07:15:00,2020-11-02 07:30:00,07:30,0,1,0
2020,2/11/2020,23:55:00,ทางหลวง,4,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.747874401,100.4515707,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-11-02 23:55:00,2020-11-03 00:00:00,00:00,0,1,0
2020,2/12/2020,15:30:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ฝนตก,6.98832102,100.6419593,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,3,2020-12-02 15:30:00,2020-12-02 15:30:00,15:30,0,2,0
2020,2/13/2020,10:15:00,ทางหลวง,43,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.983997453,100.6647581,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,,,,1,1,0
2020,2/13/2020,19:45:00,ทางหลวง,43,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.948126812,100.8326322,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,1,0
2020,2/14/2020,0:15:00,ทางหลวง,414,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.121312289,100.5489483,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,1,1,0
2020,2/14/2020,5:20:00,ทางหลวง,43,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,อุปกรณ์ยานพาหนะบกพร่อง,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.949056027,100.694485,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,0,1,0
2020,2/14/2020,10:30:00,ทางหลวง,43,สงขลา,อื่นๆ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.930346227,100.8824032,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,1
2020,2/14/2020,14:30:00,ทางหลวง,42,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.710710028,100.7772499,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0
2020,2/15/2020,13:00:00,ทางหลวง,4085,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,แซงรถอย่างผิดกฎหมาย,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,6.758398284,100.9466126,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,0,2,0
