ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,วันเวลาเกิด,Unnamed: 39
2020,1/15/2020,10:40:00,3/27/2020,10:29 AM,3795174,กรมทางหลวง,ทางหลวง,42,นาทวี - ลำไพล,23.4,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.742057001,100.6424796,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2020-01-15 10:40:00,
2020,1/15/2020,20:50:00,3/27/2020,10:00 AM,3795164,กรมทางหลวง,ทางหลวง,414,คลองวง - ท่าท้อน,23.266,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.010031432,100.4226351,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-01-15 20:50:00,
2020,1/17/2020,19:15:00,3/30/2020,3:58 PM,3795386,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,62.7,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.876113704,100.9559682,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2020-01-17 19:15:00,
2020,1/17/2020,19:25:00,3/30/2020,3:59 PM,3795383,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,53.0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.927933894,100.8851257,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2020-01-17 19:25:00,
2020,1/17/2020,19:30:00,10/2/2020,1:57 PM,3805814,กรมทางหลวง,ทางหลวง,408,ทุ่งหวัง - นาทวี,189.35,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,6.992420918,100.6770024,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2020-01-17 19:30:00,
2020,1/17/2020,20:45:00,3/27/2020,10:01 AM,3795031,กรมทางหลวง,ทางหลวง,43,หาดใหญ่ - นาหม่อม,6.9,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.957799615,100.5383348,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020-01-17 20:45:00,
2020,1/18/2020,16:40:00,2/24/2020,10:00 AM,3790996,กรมทางหลวง,ทางหลวง,43,จะนะ - ปาแด,52.6,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.930346227,100.8824086,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-18 16:40:00,
2020,1/19/2020,17:10:00,1/29/2020,1:51 PM,3788492,กรมทางหลวง,ทางหลวง,4054,สะเดา - มาเลเซีย (เขตแดนไทย/มาเลเซีย),6.5,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.638352311,100.3666949,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2020-01-19 17:10:00,
2020,1/20/2020,14:30:00,3/30/2020,4:03 PM,3795562,กรมทางหลวง,ทางหลวง,4145,คลองแงะ - บาโรย,0.02,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,แซงรถอย่างผิดกฎหมาย,ชนท้าย,แจ่มใส,6.796451222,100.4529011,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20 14:30:00,
2020,1/21/2020,7:50:00,3/30/2020,12:02 PM,3795575,กรมทางหลวง,ทางหลวง,406,ปากจ่า - ค่ายรวมมิตร,35.17,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,ฝนตก,7.079316937,100.1877916,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-01-21 07:50:00,
