ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2025,11/06/2025,05:08 PM,408,สงขลา,1,0,0,1,1
2025,15/06/2025,03:30 PM,43,สงขลา,1,0,1,0,1
2025,15/06/2025,10:30 PM,414,สงขลา,1,0,1,0,1
2025,16/06/2025,05:23 PM,4,สงขลา,1,0,1,0,1
2025,18/06/2025,11:00 AM,43,สงขลา,1,0,1,0,1
2025,19/06/2025,08:00 AM,408,สงขลา,1,0,0,1,1
2025,19/06/2025,04:00 PM,43,สงขลา,1,0,1,0,1
2025,20/06/2025,07:25 PM,42,สงขลา,2,1,1,0,1
2025,22/06/2025,03:30 AM,4,สงขลา,1,0,1,0,1
2025,25/06/2025,09:00 AM,414,สงขลา,4,1,3,0,1
2025,26/06/2025,08:00 AM,43,สงขลา,1,0,1,0,1
2025,27/06/2025,12:00 AM,4,สงขลา,2,0,2,0,1
2025,29/06/2025,12:00 AM,406,สงขลา,1,0,1,0,1
2025,29/06/2025,12:00 AM,4369,สงขลา,1,0,1,0,1
2025,30/06/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,30/06/2025,12:00 AM,4135,สงขลา,1,0,1,0,1
2025,02/07/2025,12:00 AM,4135,สงขลา,1,0,1,0,1
2025,09/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,09/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,11/07/2025,12:00 AM,414,สงขลา,1,0,1,0,1
2025,13/07/2025,12:00 AM,406,สงขลา,2,0,2,0,1
2025,14/07/2025,12:00 AM,407,สงขลา,1,0,1,0,1
2025,14/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,18/07/2025,12:00 AM,4,สงขลา,2,0,1,1,1
2025,20/07/2025,12:00 AM,43,สงขลา,1,0,0,1,1
2025,22/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,24/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,24/07/2025,12:00 AM,4135,สงขลา,1,0,1,0,1
2025,24/07/2025,12:00 AM,414,สงขลา,1,0,1,0,1
2025,28/07/2025,12:00 AM,4135,สงขลา,1,0,1,0,1
2025,30/07/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,31/07/2025,12:00 AM,414,สงขลา,1,0,1,0,1
2025,01/08/2025,12:00 AM,4085,สงขลา,1,0,1,0,1
2025,01/08/2025,12:00 AM,42,สงขลา,1,0,0,1,1
2025,04/08/2025,12:00 AM,4,สงขลา,4,0,4,0,1
2025,07/08/2025,12:00 AM,42,สงขลา,3,0,1,2,1
2025,08/08/2025,12:00 AM,408,สงขลา,1,0,1,0,1
2025,12/08/2025,12:00 AM,42,สงขลา,1,0,1,0,1
2025,13/08/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,15/08/2025,12:00 AM,4,สงขลา,1,0,0,1,1
2025,17/08/2025,12:00 AM,43,สงขลา,1,0,1,0,1
2025,21/08/2025,12:00 AM,43,สงขลา,4,0,3,1,1
2025,22/08/2025,12:00 AM,43,สงขลา,1,0,0,1,1
2025,23/08/2025,12:00 AM,408,สงขลา,1,0,1,0,1
2025,25/08/2025,12:00 AM,408,สงขลา,1,0,1,0,1
