ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
338,201,พุทธมณฑลสาย 4 - นครชัยศรี,22+081,45217 ,40016 ,1670 ,3494 ,6422 ,4989 ,8674 ,5118 ,2627 ,2299 ,120526 ,23.758,0,1263,สมุทรสาคร,นครปฐม
307,101,แยกสวนสมเด็จ - สะพานนนทบุรี,0+100,44296 ,45601 ,972 ,941 ,1891 ,27369 ,3685 ,1537 ,0 ,0 ,126292 ,6.377,0,20144,นนทบุรี,นนทบุรี
3902,202,คลองบางไผ่ - คลองบางหลวง,46+472,43976 ,15883 ,4287 ,0 ,3720 ,9447 ,3192 ,9519 ,0 ,0 ,90024 ,18.252,282,14754,นนทบุรี,นนทบุรี
9,401,บางปะอิน - แขวงรามอินทรา,20+500,43784 ,24820 ,243 ,253 ,321 ,45744 ,7159 ,5527 ,4448 ,3359 ,135658 ,15.529,0,0,พิเศษระหว่างเมือง,ปทุมธานี
3242,200,บางบอน - โรงพยาบาลบางปะกอก 8,15+600,42363 ,37052 ,2701 ,2671 ,2544 ,11899 ,896 ,194 ,27 ,20 ,100367 ,6.329,80,9699,ธนบุรี,กรุงเทพมหานคร
344,102,หนองรี - หนองปรือ,6+665,41688 ,11880 ,1012 ,924 ,1110 ,8608 ,7403 ,4348 ,1743 ,1699 ,80415 ,21.423,18,5411,ชลบุรีที่ 1,ชลบุรี
9,401,บางปะอิน - แขวงรามอินทรา,1+500,41580 ,18574 ,374 ,306 ,381 ,52470 ,9553 ,4032 ,6084 ,5218 ,138572 ,18.455,0,0,พิเศษระหว่างเมือง,พระนครศรีอยุธยา
305,100,ต่างระดับรังสิต - วัดนาบุญ,4+550,40171 ,40163 ,9680 ,7909 ,6969 ,10838 ,7977 ,2521 ,1811 ,1456 ,129495 ,22.119,400,8527,ปทุมธานี,ปทุมธานี
32,101,บางปะอิน - อยุธยา,1+243,38939 ,10459 ,12222 ,9105 ,3572 ,30128 ,5449 ,5252 ,2990 ,2739 ,120855 ,24.084,70,5372,อยุธยา,พระนครศรีอยุธยา
1317,101,ดอนจั่น - สันกลางใต้,1+140,38836 ,4416 ,1650 ,123 ,638 ,1160 ,2092 ,1212 ,266 ,32 ,50425 ,8.652,195,15126,เชียงใหม่ที่ 2,เชียงใหม่
4,201,นครชัยศรี - พระประโทน,41+500,35969 ,17637 ,1708 ,1627 ,1469 ,19626 ,5698 ,5563 ,5604 ,1316 ,96217 ,22.114,15,3839,นครปฐม,นครปฐม
3901,201,คลองมหาสวัสดิ์ - คลองบางไผ่,39+528,35387 ,10112 ,1702 ,0 ,1553 ,15377 ,2371 ,2488 ,0 ,0 ,68990 ,9.294,39,6981,นนทบุรี,นนทบุรี
1,302,ต่างระดับบางปะอิน - หนองแค,67+300,35261 ,21318 ,8753 ,2341 ,3479 ,17126 ,16146 ,10703 ,10827 ,9738 ,135692 ,39.231,0,1545,อยุธยา,พระนครศรีอยุธยา
3901,202,คลองบางไผ่ - คลองบางหลวง,46+472,33904 ,9468 ,3477 ,0 ,2300 ,5012 ,1778 ,1533 ,0 ,0 ,57472 ,9.763,1487,10309,นนทบุรี,นนทบุรี
3901,201,คลองมหาสวัสดิ์ - คลองบางไผ่,35+322,33877 ,9010 ,1635 ,0 ,1669 ,14504 ,2023 ,1936 ,0 ,0 ,64654 ,8.705,21,10797,นนทบุรี,นนทบุรี
12,402,พิษณุโลก - ร้องโพธิ์,232+609,33600 ,28283 ,345 ,62 ,110 ,16114 ,850 ,76 ,19 ,4 ,79463 ,1.411,42,17210,พิษณุโลกที่ 1,พิษณุโลก
304,100,ปากเกร็ด -  คลองประปา,4+750,32449 ,26446 ,3493 ,734 ,3225 ,12451 ,773 ,0 ,0 ,0 ,79571 ,5.947,0,27942,นนทบุรี,นนทบุรี
3214,100,บ้านพร้าว - คลองห้า,0+650,31408 ,31473 ,1253 ,1367 ,1224 ,2833 ,2259 ,1561 ,889 ,571 ,74838 ,10.517,166,1844,ปทุมธานี,ปทุมธานี
1,302,ต่างระดับบางปะอิน - หนองแค,60+800,31322 ,26783 ,7831 ,2846 ,3528 ,8246 ,7409 ,8442 ,7291 ,7198 ,110896 ,33.107,0,1516,อยุธยา,พระนครศรีอยุธยา
2,205,โคกกรวด - นครราชสีมา,146+072,30698 ,28921 ,2568 ,1640 ,1610 ,4364 ,1809 ,1411 ,355 ,451 ,73827 ,9.855,257,14331,นครราชสีมาที่ 2,นครราชสีมา
346,102,สะพานคลองเปรม - สะพานข้ามแม่น้ำเจ้าพระยาปทุมธานี,9+500,30583 ,28790 ,8427 ,7117 ,8147 ,9784 ,9813 ,11204 ,6595 ,3860 ,124320 ,37.593,0,25716,ปทุมธานี,ปทุมธานี
35,202,สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก - นาโคก,30+700,30173 ,18300 ,298 ,623 ,363 ,34378 ,7882 ,11241 ,9645 ,9829 ,122732 ,32.252,52,18961,สมุทรสาคร,สมุทรสาคร
35,201,แสมดำ - สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก,24+550,29785 ,17125 ,1207 ,1147 ,1316 ,18536 ,10216 ,11973 ,11013 ,7715 ,110033 ,39.425,999,5027,สมุทรสาคร,สมุทรสาคร
3256,102,บางพลี - กิ่งแก้ว,19+857,29166 ,5808 ,973 ,427 ,1265 ,12323 ,2596 ,1277 ,2840 ,0 ,56675 ,14.83,12,21380,สมุทรปราการ,สมุทรปราการ
1001,100,เชียงใหม่ - บ้านโป่ง,1+000,29147 ,7497 ,500 ,407 ,193 ,1742 ,747 ,355 ,335 ,403 ,41326 ,5.904,200,31585,เชียงใหม่ที่ 2,เชียงใหม่
108,101,เชียงใหม่ - ปากทางท่าลี่,7+650,28992 ,7331 ,1313 ,417 ,283 ,14617 ,495 ,178 ,89 ,53 ,53768 ,2.818,261,17497,เชียงใหม่ที่ 1,เชียงใหม่
338,102,ทางยกระดับบางกอกน้อย - นครชัยศรี,8+664,28834 ,25850 ,0 ,0 ,0 ,11658 ,0 ,0 ,0 ,0 ,66342 ,0,0,0,ธนบุรี,กรุงเทพมหานคร
3344,100,อุดมสุข - สมุทรปราการ,13+078,27979 ,17568 ,1014 ,515 ,698 ,19377 ,1528 ,1146 ,1163 ,743 ,71731 ,8.076,2,15567,สมุทรปราการ,สมุทรปราการ
4,202,พระประโทน - สระกระเทียม,64+387,27461 ,7204 ,2301 ,2772 ,2367 ,25963 ,6886 ,5642 ,6406 ,4743 ,91745 ,31.409,0,5379,นครปฐม,นครปฐม
351,100,มหาวิทยาลัยเกษตรศาสตร์ - คันนายาว,4+700,27358 ,20225 ,36 ,23 ,239 ,13616 ,149 ,19 ,2 ,0 ,61667 ,0.701,3,16767,กรุงเทพ,กรุงเทพมหานคร
32,201,นครหลวง - อ่างทอง,43+000,26974 ,22219 ,2461 ,986 ,1127 ,6320 ,3650 ,2442 ,2947 ,3231 ,72357 ,19.878,3,1564,อ่างทอง,พระนครศรีอยุธยา
3312,200,ลำลูกกา - คลอง 16,14+300,26742 ,4587 ,185 ,368 ,380 ,15982 ,1494 ,942 ,437 ,396 ,51513 ,7.798,161,7792,นครนายก,ปทุมธานี
338,102,ทางยกระดับบางกอกน้อย - นครชัยศรี,2+164,26668 ,25583 ,0 ,0 ,0 ,15084 ,0 ,0 ,0 ,0 ,67335 ,0,0,0,ธนบุรี,กรุงเทพมหานคร
2,502,ขอนแก่น - หินลาด,344+331,26624 ,20308 ,786 ,609 ,489 ,667 ,832 ,523 ,470 ,474 ,51782 ,6.56,319,5191,ขอนแก่นที่ 1,ขอนแก่น
4,100,อ้อมใหญ่ - นครชัยศรี,26+500,26290 ,8985 ,1004 ,266 ,449 ,20574 ,1303 ,1202 ,752 ,174 ,60999 ,6.797,100,14873,สมุทรสาคร,นครปฐม
303,100,ราษฎร์บูรณะ - พระสมุทรเจดีย์,14+000,26164 ,9918 ,2373 ,2101 ,865 ,24050 ,1882 ,1656 ,1599 ,491 ,71099 ,12.087,347,17229,สมุทรปราการ,สมุทรปราการ
1,401,หนองแค - หินกอง,92+000,25270 ,21504 ,376 ,914 ,3146 ,31421 ,4627 ,6756 ,7949 ,7314 ,109277 ,28.099,46,2611,สระบุรี,สระบุรี
3312,100,สนามกีฬาธูปเตมีย์ - ลำลูกกา,2+061,25170 ,11665 ,13 ,110 ,278 ,16109 ,2712 ,1297 ,802 ,425 ,58581 ,9.6,53,12244,กรุงเทพ,ปทุมธานี
4,202,พระประโทน - สระกระเทียม,55+087,25156 ,17630 ,2980 ,3238 ,3349 ,23686 ,6451 ,7823 ,7653 ,5089 ,103055 ,32.607,83,9258,นครปฐม,นครปฐม
224,100,นครราชสีมา - หัวทะเล,2+535,25045 ,15732 ,1023 ,633 ,711 ,7479 ,1232 ,825 ,728 ,563 ,53971 ,8.694,44,9547,นครราชสีมาที่ 2,นครราชสีมา
3310,100,กระทุ่มล้ม - พุทธมณฑล,2+500,24784 ,8757 ,626 ,100 ,397 ,23487 ,1088 ,921 ,601 ,255 ,61016 ,5.51,80,9413,สมุทรสาคร,นครปฐม
1006,100,เชียงใหม่ - ออนหลวย,10+000,24769 ,6760 ,695 ,0 ,16 ,9600 ,551 ,16 ,0 ,0 ,42407 ,1.375,53,11604,เชียงใหม่ที่ 2,เชียงใหม่
345,200,บางคูวัด - บางพูน,16+425,24508 ,20075 ,8681 ,7471 ,6865 ,7881 ,7808 ,5888 ,3537 ,0 ,92714 ,34.05,0,10453,ปทุมธานี,ปทุมธานี
7,105,หนองข้างคอก - ตะเคียนเตี้ย,89+344,23809 ,17394 ,10 ,5 ,24 ,14017 ,6319 ,6382 ,8312 ,8 ,76280 ,27.596,0,0,พิเศษระหว่างเมือง,ชลบุรี
12,801,บ้านฝาง - ขอนแก่น,545+249,23262 ,11600 ,589 ,493 ,295 ,522 ,804 ,655 ,530 ,464 ,39214 ,8.265,207,5063,ขอนแก่นที่ 1,ขอนแก่น
118,100,เชียงใหม่ - ดอยนางแก้ว,0+500,23083 ,15834 ,3641 ,2024 ,1622 ,19167 ,1650 ,974 ,396 ,309 ,68700 ,10.153,486,20684,เชียงใหม่ที่ 2,เชียงใหม่
306,102,แคราย - คลองบ้านใหม่,19+390,22984 ,8197 ,1195 ,887 ,4658 ,3969 ,925 ,1589 ,0 ,0 ,44404 ,18.149,0,14635,นนทบุรี,นนทบุรี
3,402,ศรีราชา - พัทยา,130+000,22883 ,16576 ,3067 ,581 ,1417 ,10078 ,3064 ,2785 ,2908 ,4544 ,67903 ,22.531,6,11828,ชลบุรีที่ 2,ชลบุรี
304,201,คลองประปา - คันนายาว,18+610,22744 ,21762 ,17 ,23 ,2154 ,3048 ,130 ,113 ,91 ,131 ,50213 ,5.262,5,1970,กรุงเทพ,กรุงเทพมหานคร
2,102,ตาลเดี่ยว - ซับบอน,11+000,22621 ,20766 ,1716 ,3960 ,2215 ,11959 ,10428 ,11008 ,11133 ,11301 ,107107 ,46.724,204,2519,สระบุรี,สระบุรี
361,100,ทางเลี่ยงเมืองชลบุรี,8+000,22597 ,15756 ,1248 ,384 ,2297 ,25536 ,8120 ,8990 ,7349 ,10179 ,102456 ,36.424,34,6146,ชลบุรีที่ 1,ชลบุรี
4024,101,บางคู  - ตีนเขา,11+037,22517 ,403 ,124 ,34 ,16 ,15552 ,82 ,71 ,46 ,38 ,38883 ,0.738,11,15473,ภูเก็ต,ภูเก็ต
11,900,อุโมงค์ - รินคำ,543+850,22497 ,9082 ,2335 ,2109 ,2267 ,5403 ,3082 ,2648 ,1420 ,2138 ,52981 ,25.79,464,3984,เชียงใหม่ที่ 2,เชียงใหม่
304,303,เสม็ดเหนือ - พนมสารคาม,88+916,22412 ,6285 ,391 ,0 ,564 ,6040 ,4834 ,2681 ,1987 ,1891 ,47085 ,25.394,26,1681,ฉะเชิงเทรา,ฉะเชิงเทรา
365,102,ทางเลี่ยงเมืองฉะเชิงเทราด้านใต้,2+950,22363 ,21239 ,0 ,42 ,77 ,18888 ,9622 ,10090 ,5478 ,4142 ,91941 ,32.032,8,3364,ฉะเชิงเทรา,ฉะเชิงเทรา
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,22176 ,8681 ,11 ,458 ,1123 ,12156 ,379 ,73 ,62 ,26 ,45145 ,4.698,142,10755,กรุงเทพ,กรุงเทพมหานคร
121,101,เหมืองกุง - ต้นเปา,1+000,21689 ,2339 ,240 ,190 ,99 ,12757 ,974 ,397 ,211 ,104 ,39000 ,5.064,93,7022,เชียงใหม่ที่ 2,เชียงใหม่
7,105,หนองข้างคอก - ตะเคียนเตี้ย,79+258,21621 ,13895 ,10 ,6 ,27 ,12913 ,6184 ,5430 ,8124 ,16 ,68226 ,29.002,0,0,พิเศษระหว่างเมือง,ชลบุรี
3214,100,บ้านพร้าว - คลองห้า,8+300,21502 ,21184 ,3816 ,2727 ,2690 ,3932 ,2518 ,2139 ,1913 ,1588 ,64009 ,21.208,77,7078,ปทุมธานี,ปทุมธานี
345,100,บางบัวทอง - บางคูวัด,6+300,21249 ,22381 ,360 ,234 ,180 ,19994 ,2979 ,2846 ,2673 ,2561 ,75457 ,15.205,183,4737,นนทบุรี,นนทบุรี
2,202,บ่อทอง - มอจะบก,87+438,21194 ,8193 ,237 ,121 ,326 ,5456 ,2738 ,3404 ,4377 ,6584 ,52630 ,33.346,13,708,นครราชสีมาที่ 2,นครราชสีมา
32,202,อ่างทอง - ไชโย,49+087,20951 ,4127 ,805 ,350 ,566 ,6137 ,2105 ,1724 ,2358 ,2961 ,42084 ,23.914,14,1916,อ่างทอง,อ่างทอง
407,101,คลองหวะ - ควนหิน,0+530,20654 ,8881 ,529 ,63 ,168 ,10435 ,380 ,291 ,81 ,191 ,41673 ,2.817,18,12536,สงขลาที่ 1,สงขลา
4,100,อ้อมใหญ่ - นครชัยศรี,31+500,20608 ,8672 ,414 ,151 ,473 ,16071 ,1029 ,622 ,613 ,200 ,48853 ,6.321,97,8381,สมุทรสาคร,นครปฐม
7,105,หนองข้างคอก - ตะเคียนเตี้ย,105+144,20518 ,15256 ,4 ,4 ,24 ,11694 ,5466 ,6100 ,7306 ,7 ,66379 ,28.483,0,0,พิเศษระหว่างเมือง,ชลบุรี
231,101,ถนนวงแหวนรอบเมืองอุบลราชธานี,8+150,20446 ,14471 ,61 ,79 ,131 ,8078 ,932 ,757 ,18 ,19 ,44992 ,4.303,35,6120,อุบลราชธานีที่ 1,อุบลราชธานี
7,104,พิมพา - หนองข้างคอก,67+900,20289 ,15618 ,2913 ,203 ,195 ,11629 ,4945 ,1912 ,1548 ,5891 ,65143 ,22.557,0,0,พิเศษระหว่างเมือง,ชลบุรี
2050,100,อุบลราชธานี - ตระการพืชผล,8+600,20024 ,2918 ,118 ,85 ,52 ,17870 ,591 ,153 ,104 ,71 ,41986 ,2.515,28,2956,อุบลราชธานีที่ 1,อุบลราชธานี
304,201,คลองประปา - คันนายาว,7+050,20017 ,20705 ,35 ,20 ,1828 ,2798 ,79 ,55 ,73 ,78 ,45688 ,4.669,5,2091,กรุงเทพ,กรุงเทพมหานคร
3119,101,มีนบุรี - แยกเคหะร่มเกล้า,1+500,19421 ,19360 ,2571 ,1559 ,2210 ,4774 ,2582 ,2372 ,2059 ,2089 ,58997 ,21.816,857,10221,กรุงเทพ,กรุงเทพมหานคร
1,1104,เกาะคา - สามัคคี,697+942,19330 ,19186 ,557 ,484 ,636 ,9267 ,1706 ,1686 ,1129 ,1052 ,55033 ,12.162,369,10101,ลำปางที่ 1,ลำปาง
11,900,อุโมงค์ - รินคำ,551+500,19011 ,12087 ,2424 ,1958 ,2617 ,8882 ,3637 ,3192 ,2239 ,2635 ,58682 ,27.739,652,5776,เชียงใหม่ที่ 2,เชียงใหม่
3268,103,บางพลี - บางบ่อ,13+000,18947 ,6599 ,629 ,390 ,416 ,6749 ,2060 ,1434 ,760 ,514 ,38498 ,14.479,5,10733,สมุทรปราการ,สมุทรปราการ
402,102,หมากปรก - เมืองภูเก็ต,44+656,18867 ,1183 ,149 ,156 ,124 ,13664 ,515 ,240 ,84 ,41 ,35023 ,3.312,29,11532,ภูเก็ต,ภูเก็ต
2040,101,มหาสารคาม - วาปีปทุม,3+000,18191 ,10690 ,54 ,53 ,54 ,1669 ,1270 ,344 ,134 ,91 ,32550 ,5.978,32,9580,มหาสารคาม,มหาสารคาม
205,402,โคกสวาย - แขวงทางหลวงนครราชสีมาที่ 1,232+502,18150 ,2343 ,526 ,62 ,80 ,1167 ,136 ,81 ,46 ,33 ,22624 ,1.936,31,8696,นครราชสีมาที่ 1,นครราชสีมา
121,104,ต้นพยอม - เหมืองกุง,44+400,17900 ,1118 ,153 ,16 ,2 ,9092 ,165 ,56 ,44 ,14 ,28560 ,1.04,77,7852,เชียงใหม่ที่ 2,เชียงใหม่
3,401,ชลบุรี - ศรีราชา,97+270,17873 ,11334 ,1860 ,158 ,189 ,14222 ,270 ,155 ,20 ,24 ,46105 ,1.77,16,7807,ชลบุรีที่ 2,ชลบุรี
116,101,ป่าสัก - สะปุ๋ง,1+000,17735 ,812 ,57 ,45 ,40 ,335 ,407 ,103 ,64 ,38 ,19636 ,3.55,56,15980,ลำพูน,ลำพูน
3414,100,อ้อมน้อย - ศาลายา,1+000,17427 ,6614 ,246 ,296 ,355 ,20685 ,1005 ,629 ,266 ,108 ,47631 ,5.582,354,12904,สมุทรสาคร,นครปฐม
204,200,ทางเลี่ยงเมืองนครราชสีมา,17+666,17179 ,2558 ,6 ,11 ,39 ,10435 ,2008 ,2753 ,3712 ,5553 ,44254 ,31.807,13,2539,นครราชสีมาที่ 1,นครราชสีมา
32,400,โพนางดำออก - ท่าฉนวน,130+000,17028 ,6426 ,2 ,72 ,101 ,4992 ,1662 ,1218 ,2396 ,3362 ,37259 ,23.648,2,350,ชัยนาท,ชัยนาท
334,100,แยกต่างระดับอ่างทอง - บ้านรอ,1+400,16829 ,2544 ,665 ,28 ,214 ,4386 ,1165 ,682 ,1738 ,903 ,29154 ,16.224,16,2456,อ่างทอง,อ่างทอง
315,200,หัวไผ่ - ชลบุรี,40+651,16585 ,14763 ,4978 ,3270 ,3405 ,20974 ,7652 ,4747 ,4770 ,4656 ,85800 ,33.217,31,8233,ชลบุรีที่ 1,ชลบุรี
304,203,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,28+250,16579 ,10873 ,2091 ,1436 ,1927 ,7883 ,2970 ,2194 ,958 ,448 ,47359 ,20.974,328,8100,กรุงเทพ,กรุงเทพมหานคร
117,101,นครสวรรค์ - หนองเต่า,8+900,16436 ,3640 ,103 ,73 ,90 ,1109 ,870 ,539 ,488 ,216 ,23564 ,9.659,9,5308,นครสวรรค์ที่ 1,นครสวรรค์
2,103,ซับบอน - มวกเหล็ก,35+200,16414 ,11555 ,489 ,767 ,234 ,7358 ,2662 ,2457 ,1954 ,2206 ,46096 ,22.301,61,1940,สระบุรี,สระบุรี
114,100,ดอยติ - ลำพูน,2+168,16325 ,935 ,57 ,60 ,49 ,118 ,115 ,87 ,74 ,66 ,17886 ,2.522,53,16388,ลำพูน,ลำพูน
315,200,หัวไผ่ - ชลบุรี,32+914,15828 ,9957 ,209 ,194 ,543 ,2329 ,552 ,1219 ,567 ,549 ,31947 ,11.344,11,1944,ชลบุรีที่ 1,ชลบุรี
106,304,ท่าจักร - อุโมงค์,253+891,15601 ,716 ,164 ,51 ,38 ,146 ,114 ,71 ,28 ,20 ,16949 ,1.9,83,13674,ลำพูน,ลำพูน
101,100,นครชุม - น้ำดิบ,3+163,15359 ,1705 ,84 ,37 ,15 ,1078 ,203 ,106 ,161 ,80 ,18828 ,3.197,44,7020,กำแพงเพชร,กำแพงเพชร
2,102,ตาลเดี่ยว - ซับบอน,21+250,15240 ,17414 ,1422 ,1687 ,2516 ,11443 ,12639 ,11831 ,11090 ,10074 ,95356 ,52.264,239,3489,สระบุรี,สระบุรี
331,302,สี่แยกนาน้อย - เขาหินซ้อน,134+753,15206 ,2936 ,185 ,0 ,259 ,3109 ,2629 ,2211 ,2645 ,2895 ,32075 ,33.169,22,1953,ฉะเชิงเทรา,ฉะเชิงเทรา
23,301,ห้วยแอ่ง - ร้อยเอ็ด,101+571,15119 ,1365 ,860 ,210 ,410 ,1997 ,969 ,340 ,235 ,219 ,21724 ,10.969,10,9077,ร้อยเอ็ด,ร้อยเอ็ด
3523,100,ทางเข้านครสวรรค์,0+500,15035 ,9644 ,824 ,76 ,187 ,1968 ,861 ,645 ,459 ,99 ,29798 ,7.809,9,10210,นครสวรรค์ที่ 1,นครสวรรค์
3901,102,บางแค - คลองมหาสวัสดิ์,20+430,15034 ,6876 ,147 ,310 ,126 ,5146 ,1044 ,557 ,182 ,136 ,29558 ,7.967,0,5591,ธนบุรี,กรุงเทพมหานคร
3215,102,บางบัวทอง - ไทรน้อย,14+705,14986 ,6204 ,1622 ,646 ,632 ,14135 ,3021 ,2231 ,2315 ,2991 ,48783 ,24.263,2563,6912,นนทบุรี,นนทบุรี
