datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2024-01-26,1,80.70479166666667,85.52270833333334,29.868333333333336,83.0,452.0,107.0,4,0,0
2024-01-27,0,80.23125,83.38645833333334,29.855416666666667,81.0,491.0,103.0,5,1,0
2024-01-28,0,80.518125,81.589375,29.85354166666667,94.0,484.0,100.0,6,1,0
2024-01-29,0,81.04916666666666,79.46729166666667,29.844166666666666,94.0,429.0,101.0,0,0,0
2024-01-30,0,81.64083333333333,77.10979166666667,29.841250000000002,84.0,316.0,98.0,1,0,0
2024-01-31,0,80.91479166666666,80.07583333333334,29.829583333333332,93.0,341.0,97.0,2,0,0
2024-02-01,0,81.60791666666667,82.55854166666667,29.751875,86.0,448.0,106.0,3,0,0
2024-02-02,0,80.89166666666667,81.75958333333334,29.81041666666667,91.0,395.0,104.0,4,0,0
2024-02-03,0,83.69125,77.43479166666667,29.750208333333333,93.0,396.0,96.0,5,1,0
2024-02-04,0,86.19687499999999,72.25541666666668,29.678749999999997,90.0,466.0,104.0,6,1,0
2024-02-05,0,86.50395833333333,77.65791666666667,29.615416666666665,88.0,469.0,106.0,0,0,0
2024-02-06,0,81.49666666666667,89.13791666666667,29.749583333333334,82.0,422.0,102.0,1,0,0
2024-02-07,1,83.32375,77.63604166666667,29.66208333333333,84.0,367.0,98.0,2,0,0
2024-02-08,0,82.62791666666666,81.05354166666667,29.71166666666667,87.0,398.0,95.0,3,0,0
2024-02-09,0,82.034375,83.703125,29.676041666666666,83.0,440.0,95.0,4,0,0
2024-02-10,1,83.19125,80.9275,29.691666666666666,83.0,419.0,93.0,5,1,0
2024-02-11,0,80.77624999999999,85.85666666666667,29.723333333333333,88.0,387.0,91.0,6,1,0
2024-02-12,0,80.59604166666666,84.130625,29.66416666666667,89.0,354.0,98.0,0,0,0
2024-02-13,0,82.02854166666667,75.04875,29.8275,95.0,380.0,103.0,1,0,0
2024-02-14,0,82.28770833333333,80.82625,29.794375,91.0,360.0,105.0,2,0,0
2024-02-15,0,83.21104166666667,76.88291666666667,29.802916666666665,96.0,344.0,108.0,3,0,0
2024-02-16,0,82.59395833333333,77.04916666666666,29.796666666666667,99.0,373.0,111.0,4,0,0
2024-02-17,0,82.15208333333334,74.67229166666667,29.772916666666664,94.0,493.0,110.0,5,1,0
2024-02-18,0,81.78750000000001,78.74979166666667,29.775208333333335,93.0,540.0,104.0,6,1,0
2024-02-19,0,83.810625,77.74854166666667,29.77333333333333,87.0,433.0,104.0,0,0,0
2024-02-20,0,83.76958333333333,78.96416666666667,29.763333333333335,82.0,401.0,107.0,1,0,0
2024-02-21,0,83.13666666666667,77.43479166666667,29.755208333333332,87.0,417.0,106.0,2,0,0
2024-02-22,0,82.38229166666666,77.401875,29.778125,85.0,434.0,96.0,3,0,0
2024-02-23,1,82.48166666666667,75.72520833333333,29.786666666666665,82.0,481.0,101.0,4,0,0
2024-02-24,0,83.07125,74.13854166666667,29.77333333333333,91.0,581.0,89.0,5,1,1
