datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-07-08,0,83.33333333333333,79.0,29.70375,84,414,90,5,1,0
2023-07-09,0,80.20833333333333,82.41666666666667,29.705,83,414,90,6,1,0
2023-07-10,0,82.17021276595744,80.76595744680851,29.695531914893618,81,411,96,0,0,0
2023-07-11,0,82.35416666666667,78.125,29.7075,90,395,92,1,0,0
2023-07-12,0,83.29166666666667,76.625,29.708125,86,423,92,2,0,0
2023-07-13,0,83.66666666666667,76.25,29.726875000000003,94,392,90,3,0,0
2023-07-14,0,84.4375,72.60416666666667,29.731875,92,402,88,4,0,0
2023-07-15,0,84.29166666666667,74.39583333333333,29.699375,93,406,97,5,1,0
2023-07-16,0,85.22916666666667,69.8125,29.6625,92,401,96,6,1,0
2023-07-17,1,85.54166666666667,70.25,29.648750000000003,91,399,96,0,0,0
2023-07-18,0,85.60416666666667,69.97916666666667,29.659375,92,409,96,1,0,0
2023-07-19,0,78.35416666666667,91.89583333333331,29.669375,64,432,94,2,0,0
2023-07-20,0,82.89583333333333,78.89583333333333,29.655625,85,398,98,3,0,0
2023-07-21,1,83.04166666666667,79.83333333333333,29.685625,93,405,93,4,0,0
2023-07-22,0,82.39583333333333,79.625,29.7225,84,420,94,5,1,0
2023-07-23,0,83.83333333333333,75.35416666666667,29.71875,86,414,93,6,1,0
2023-07-24,0,84.47916666666667,72.64583333333333,29.68625,92,409,90,0,0,0
2023-07-25,0,85.0,74.85416666666667,29.693125,90,400,88,1,0,0
2023-07-26,0,80.33333333333333,86.54166666666667,29.725625,90,394,95,2,0,0
2023-07-27,0,84.33333333333333,77.1875,29.715625000000003,96,409,93,3,0,0
2023-07-28,0,85.14583333333333,73.625,29.67625,88,412,90,4,0,1
2023-07-29,0,84.91666666666667,72.39583333333333,29.67,93,403,93,5,1,0
2023-07-30,0,82.29166666666667,83.375,29.671875,89,408,93,6,1,0
2023-07-31,0,80.04166666666667,89.8125,29.696250000000003,85,414,92,0,0,1
2023-08-01,0,80.625,85.79166666666667,29.716875,76,425,94,1,0,1
2023-08-02,0,82.02083333333333,83.16666666666667,29.729375,91,404,93,2,0,1
2023-08-03,0,83.5,79.35416666666667,29.740416666666665,90,411,92,3,0,0
2023-08-04,0,82.72916666666667,82.66666666666667,29.778125,90,401,94,4,0,0
2023-08-05,0,83.72916666666667,79.29166666666667,29.792291666666667,92,399,94,5,1,0
2023-08-06,0,83.02083333333333,79.14583333333333,29.761041666666667,86,414,94,6,1,0
2023-08-07,0,83.45833333333333,77.72916666666667,29.72,88,415,93,0,0,0
2023-08-08,0,83.34042553191489,73.61702127659575,29.738936170212767,92,412,91,1,0,0
2023-08-09,0,80.58333333333333,84.9375,29.769166666666667,88,420,94,2,0,0
2023-08-10,0,81.57446808510639,80.8936170212766,29.76723404255319,85,392,89,3,0,0
2023-08-11,0,83.45833333333333,73.85416666666667,29.733125,92,403,97,4,0,0
2023-08-12,1,83.8125,74.5625,29.7125,95,414,93,5,1,1
2023-08-13,0,82.27083333333333,79.83333333333333,29.708125,88,404,99,6,1,0
2023-08-14,0,79.35416666666667,87.79166666666667,29.7375,73,439,95,0,0,1
2023-08-15,0,80.08333333333333,85.27083333333333,29.744375,84,413,90,1,0,0
2023-08-16,0,79.75,85.29166666666667,29.748125,87,424,94,2,0,0
2023-08-17,0,82.25,77.08333333333333,29.7325,92,401,93,3,0,0
2023-08-18,0,84.0625,74.1875,29.7025,92,412,96,4,0,0
2023-08-19,0,84.02083333333333,74.47916666666667,29.68125,93,403,90,5,1,0
2023-08-20,0,83.47916666666667,75.08333333333333,29.66875,94,409,89,6,1,0
2023-08-21,0,83.20833333333333,77.1875,29.685,92,415,90,0,0,0
2023-08-22,0,81.5,82.41666666666667,29.696875,87,402,90,1,0,0
2023-08-23,0,82.95833333333333,76.125,29.700625,91,406,93,2,0,0
2023-08-24,0,83.72916666666667,76.3125,29.696875,91,410,94,3,0,0
2023-08-25,1,82.04347826086956,81.3913043478261,29.703260869565216,83,407,95,4,0,0
