datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2023-04-28,0,84.17604166666666,78.686875,3.685833333333333,29.68041666666667,85.0,427.0,100.0,4,0,0
2023-04-29,0,82.45083333333334,83.74333333333333,2.4722916666666666,29.66125,87.0,429.0,100.0,5,1,0
2023-04-30,0,84.84270833333333,78.568125,5.404791666666667,29.635625,87.0,502.0,106.0,6,1,0
2023-05-01,0,79.479375,85.74979166666667,6.170625,29.773958333333336,91.0,601.0,100.0,0,0,1
2023-05-02,0,80.58125,81.815,7.984791666666666,29.692708333333332,81.0,566.0,101.0,1,0,0
2023-05-03,1,79.39583333333333,75.47354166666666,8.306458333333333,29.849999999999998,87.0,561.0,100.0,2,0,0
2023-05-04,0,79.14166666666667,88.26020833333332,3.4752083333333332,29.688125,102.0,586.0,85.0,3,0,1
2023-05-05,0,82.77666666666667,84.7025,3.0570833333333334,29.61645833333333,98.0,558.0,93.0,4,0,1
2023-05-06,0,83.24770833333334,77.16645833333334,4.301666666666667,29.663750000000004,97.0,536.0,102.0,5,1,0
2023-05-07,0,84.78208333333333,74.83375,2.86,29.688541666666666,99.0,506.0,97.0,6,1,0
2023-05-08,0,83.71,79.27270833333334,3.5883333333333334,29.792291666666667,101.0,521.0,95.0,0,0,0
2023-05-09,0,78.40166666666666,87.93374999999999,3.88875,29.694374999999997,108.0,479.0,101.0,1,0,0
2023-05-10,0,82.719375,79.8025,2.5329166666666665,29.713333333333335,105.0,380.0,105.0,2,0,0
2023-05-11,0,80.111875,88.49208333333333,3.6070833333333336,29.727083333333336,88.0,388.0,97.0,3,0,0
2023-05-12,0,81.37270833333334,89.21333333333332,4.535833333333334,29.72791666666667,79.0,446.0,97.0,4,0,0
2023-05-13,0,85.3675,76.86666666666666,3.5385416666666667,29.717083333333335,87.0,486.0,102.0,5,1,0
2023-05-14,0,84.38479166666666,79.50916666666667,3.8972916666666664,29.720625,88.0,490.0,101.0,6,1,0
2023-05-15,0,82.880625,84.73791666666666,3.141875,29.736874999999998,82.0,481.0,94.0,0,0,0
2023-05-16,0,82.835,81.84104166666667,3.7404166666666665,29.755208333333332,89.0,447.0,100.0,1,0,0
2023-05-17,0,80.56291666666667,86.63854166666665,3.4525,29.766875,92.0,392.0,106.0,2,0,0
2023-05-18,0,81.561875,84.42041666666667,3.5852083333333336,29.76770833333333,88.0,353.0,102.0,3,0,0
2023-05-19,0,81.68791666666667,86.5425,3.5847916666666664,29.720625,91.0,382.0,109.0,4,0,0
2023-05-20,0,85.395625,76.47166666666666,5.6745833333333335,29.689375,104.0,469.0,107.0,5,1,0
2023-05-21,0,83.60604166666667,78.82125,6.117291666666667,29.723125,102.0,516.0,101.0,6,1,0
2023-05-22,1,82.16416666666667,80.189375,6.105208333333334,29.754791666666666,97.0,372.0,104.0,0,0,0
2023-05-23,1,83.501875,79.336875,5.826250000000001,29.738958333333333,89.0,367.0,95.0,1,0,0
2023-05-24,1,84.37125,78.48416666666667,6.185625000000001,29.72791666666667,94.0,424.0,103.0,2,0,0
2023-05-25,1,84.58729166666667,77.83624999999999,6.225625,29.731875,98.0,417.0,100.0,3,0,0
2023-05-26,0,81.84166666666667,85.70479166666667,3.56125,29.733333333333334,89.0,438.0,98.0,4,0,0
2023-05-27,0,83.70583333333333,76.63604166666667,7.0320833333333335,29.682291666666668,91.0,487.0,98.0,5,1,0
2023-05-28,0,81.791875,83.82583333333334,4.990208333333333,29.65833333333333,98.0,491.0,92.0,6,1,0
2023-05-29,0,84.318125,74.06708333333333,6.51125,29.680208333333336,83.0,417.0,96.0,0,0,0
2023-05-30,0,83.816875,77.47354166666666,6.6000000000000005,29.685208333333335,80.0,381.0,106.0,1,0,0
2023-05-31,0,84.20645833333333,76.68458333333334,7.285833333333334,29.680833333333336,92.0,418.0,103.0,2,0,0
2023-06-01,0,75.88395833333333,93.44083333333333,4.658333333333333,29.78333333333333,85.0,477.0,104.0,3,0,0
