datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,year
2021-03-29,0,81.50041666666667,84.58375,3.5418749999999997,29.653333333333332,80.0,364.0,107.0,0,0,0,2021
2021-03-30,0,83.038125,84.999375,3.6079166666666667,29.622708333333335,93.0,380.0,101.0,1,0,0,2021
2021-03-31,1,82.88229166666666,84.64604166666668,3.04875,29.600624999999997,91.0,395.0,101.0,2,0,0,2021
2021-04-01,0,78.08666666666666,94.75020833333333,4.876458333333333,29.69729166666667,88.0,392.0,100.0,3,0,0,2021
2021-04-02,0,78.64020833333333,74.956875,7.979583333333333,29.77416666666667,93.0,378.0,98.0,4,0,0,2021
2021-04-03,0,83.02604166666667,80.37666666666667,9.614791666666667,29.765625,91.0,450.0,100.0,5,1,0,2021
2021-04-04,0,81.41291666666667,93.79166666666667,2.3312500000000003,29.665833333333335,82.0,459.0,104.0,6,1,0,2021
2021-04-05,0,82.714375,88.52083333333333,4.659375,29.651875,85.0,422.0,101.0,0,0,0,2021
2021-04-06,0,79.80895833333334,94.92916666666667,1.7864583333333333,29.698333333333334,91.0,505.0,97.0,1,0,1,2021
2021-04-07,1,83.91895833333334,80.42666666666666,4.545625,29.653958333333335,95.0,484.0,103.0,2,0,0,2021
2021-04-08,0,84.53041666666667,72.92625,8.295,29.737916666666667,96.0,515.0,113.0,3,0,0,2021
2021-04-09,0,80.30479166666667,86.99395833333334,1.6377083333333333,29.706458333333334,85.0,498.0,100.0,4,0,0,2021
2021-04-10,0,79.31791666666666,93.8125,1.93875,29.667916666666667,87.0,490.0,94.0,5,1,0,2021
2021-04-11,0,77.94458333333334,96.874375,2.5370833333333334,29.72,100.0,463.0,96.0,6,1,0,2021
2021-04-12,0,77.22166666666666,94.84916666666668,3.969791666666667,29.799166666666665,103.0,502.0,94.0,0,0,1,2021
2021-04-13,0,80.60625,86.91708333333334,4.407708333333333,29.748125,105.0,539.0,87.0,1,0,1,2021
2021-04-14,0,80.20104166666667,85.10458333333334,3.5066666666666664,29.74729166666667,100.0,538.0,88.0,2,0,1,2021
2021-04-15,0,79.685,92.85333333333334,2.55125,29.725416666666664,101.0,543.0,90.0,3,0,1,2021
2021-04-16,1,81.73770833333333,85.52145833333333,2.98625,29.722083333333334,94.0,568.0,92.0,4,0,0,2021
2021-04-17,0,82.63645833333334,85.60416666666667,3.08375,29.754791666666666,95.0,565.0,91.0,5,1,0,2021
2021-04-18,0,82.38729166666667,83.42583333333333,3.2972916666666667,29.754791666666666,87.0,484.0,96.0,6,1,0,2021
2021-04-19,1,83.03229166666667,81.42854166666667,5.227083333333334,29.722916666666666,81.0,422.0,97.0,0,0,0,2021
2021-04-20,1,81.91729166666667,83.08437500000001,5.306875,29.707708333333333,85.0,363.0,99.0,1,0,0,2021
2021-04-21,0,83.244375,81.47208333333333,5.100208333333334,29.705624999999998,90.0,341.0,105.0,2,0,0,2021
2021-04-22,0,81.2275,93.65104166666667,3.69125,29.708541666666665,82.0,375.0,105.0,3,0,0,2021
2021-04-23,1,81.19145833333333,89.05291666666666,6.776458333333333,29.69875,87.0,385.0,95.0,4,0,0,2021
2021-04-24,0,81.30166666666666,80.40791666666667,5.971666666666667,29.70625,105.0,483.0,100.0,5,1,0,2021
2021-04-25,0,82.13041666666668,80.7975,4.1554166666666665,29.710624999999997,114.0,506.0,99.0,6,1,0,2021
2021-04-26,0,80.99583333333334,85.92041666666667,1.5735416666666666,29.700625000000002,85.0,447.0,104.0,0,0,0,2021
2021-04-27,0,79.42979166666667,88.47333333333334,2.70375,29.728125000000002,83.0,423.0,107.0,1,0,0,2021
2021-04-28,1,80.72687499999999,85.498125,3.1947916666666667,29.740624999999998,81.0,435.0,102.0,2,0,0,2021
2021-04-29,0,79.913125,87.24041666666666,3.15875,29.72854166666667,83.0,484.0,92.0,3,0,0,2021
2021-04-30,1,78.875,88.79145833333332,2.4672916666666667,29.718333333333334,103.0,525.0,87.0,4,0,0,2021
2021-05-01,0,78.67604166666666,94.45875000000001,4.086875,29.707916666666666,115.0,524.0,86.0,5,1,1,2021
2021-05-02,0,80.335,77.32104166666666,8.139791666666666,29.749166666666667,100.0,497.0,97.0,6,1,0,2021
2021-05-03,0,83.41270833333333,77.45291666666667,6.821666666666666,29.766875,94.0,549.0,92.0,0,0,1,2021
2021-05-04,0,83.06,84.979375,4.111666666666667,29.699166666666667,92.0,581.0,91.0,1,0,1,2021
2021-05-05,0,80.189375,98.10270833333334,1.6439583333333332,29.665833333333335,89.0,515.0,90.0,2,0,0,2021
2021-05-06,1,81.814375,87.49229166666667,3.967708333333333,29.721666666666668,90.0,475.0,92.0,3,0,0,2021
2021-05-07,0,82.87291666666667,81.43375,3.9164583333333334,29.648750000000003,91.0,499.0,103.0,4,0,0,2021
2021-05-08,0,84.59291666666667,75.35020833333333,6.488541666666666,29.719791666666666,88.0,466.0,99.0,5,1,0,2021
2021-05-09,0,83.12479166666667,77.22520833333333,3.5362500000000003,29.707708333333333,83.0,444.0,103.0,6,1,0,2021
2021-05-10,0,79.16666666666667,89.9375,3.719791666666667,29.668541666666666,82.0,363.0,104.0,0,0,0,2021
2021-05-11,0,79.49249999999999,92.77416666666666,3.4966666666666666,29.680625000000003,82.0,325.0,105.0,1,0,0,2021
2021-05-12,0,76.806875,93.13625,3.626875,29.796666666666667,90.0,332.0,111.0,2,0,0,2021
2021-05-13,0,83.33749999999999,84.18729166666667,3.3258333333333336,29.610416666666666,86.0,368.0,110.0,3,0,0,2021
2021-05-14,0,84.08729166666667,84.43708333333333,3.4127083333333332,29.61854166666667,79.0,444.0,99.0,4,0,0,2021
2021-05-15,0,84.05333333333333,84.56708333333333,3.5316666666666667,29.63354166666667,80.0,460.0,95.0,5,1,0,2021
2021-05-16,1,82.08916666666667,87.73041666666667,2.9458333333333333,29.644583333333333,100.0,422.0,100.0,6,1,0,2021
2021-05-17,1,82.8925,86.07916666666667,3.075416666666667,29.654583333333335,93.0,428.0,99.0,0,0,0,2021
2021-05-18,0,82.645,83.041875,3.9149999999999996,29.68041666666667,79.0,451.0,95.0,1,0,0,2021
2021-05-19,1,79.16437499999999,93.34520833333333,2.093125,29.683333333333334,75.0,396.0,97.0,2,0,0,2021
2021-05-20,0,82.98875,85.1075,4.909166666666667,29.686875,75.0,395.0,103.0,3,0,0,2021
2021-05-21,1,79.49645833333334,95.41250000000001,3.676458333333333,29.718125,84.0,457.0,99.0,4,0,0,2021
2021-05-22,0,79.70666666666666,92.22874999999999,4.766666666666667,29.692291666666666,93.0,442.0,106.0,5,1,0,2021
2021-05-23,0,83.31020833333334,81.24604166666667,4.792083333333333,29.673541666666665,102.0,444.0,101.0,6,1,0,2021
2021-05-24,0,84.60437499999999,79.84875000000001,4.068125,29.687291666666667,96.0,399.0,101.0,0,0,0,2021
