ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,datetime,date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,year,year_ad,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,vehicles_total
2020,20/03/2020,06:30 PM,4,สงขลา,6.713118127,100.4454607,2,0,1,1,1,2020-03-20 18:30:00,3/20/2020,6:30 PM,82.0,70.0,9.0,29.7,Fair,2020.0,2020,39344,155491,30994,225829
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,6519,21741,6592,34852
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,8638,24060,3545,36243
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,2931,29162,9363,41456
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,4122,30715,4377,39214
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,9074,26179,2849,38102
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,4603,14861,2479,21943
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,3457,8773,1789,14019
2020,22/03/2020,09:00 PM,4,สงขลา,6.849869935,100.4703703,1,0,1,0,1,2020-03-22 21:00:00,3/22/2020,9:00 PM,82.0,79.0,0.0,29.73,Fair,2020.0,2020,39344,155491,30994,225829
2020,26/03/2020,06:00 PM,4,สงขลา,6.984777508,100.448572,1,0,1,0,1,2020-03-26 18:00:00,3/26/2020,6:00 PM,88.0,66.0,10.0,29.64,Fair,2020.0,2020,6519,21741,6592,34852
